host_is_superhost,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,price,review_scores_rating,reviews_per_month
0,1,Bedford-Stuyvesant,Brooklyn,40.684940000000005,-73.95765,Entire guest suite,Entire home/apt,3,1.0,1,75,4.45,4.86
0,1,Sunset Park,Brooklyn,40.66265,-73.99454,Entire rental unit,Entire home/apt,4,1.5,2,275,5.0,0.02
1,1,Fort Greene,Brooklyn,40.69121,-73.97277,Entire guest suite,Entire home/apt,4,1.0,1,199,4.87,3.05
1,2,Bedford-Stuyvesant,Brooklyn,40.68462,-73.93839,Entire loft,Entire home/apt,5,1.0,1,140,4.76,1.17
1,1,East Village,Manhattan,40.72712,-73.98598,Entire rental unit,Entire home/apt,2,1.0,1,175,4.7,0.75
0,1,Harlem,Manhattan,40.8114,-73.94296,Entire rental unit,Entire home/apt,3,1.0,1,250,4.81,0.79
0,4,Bedford-Stuyvesant,Brooklyn,40.67946,-73.95416999999999,Entire rental unit,Entire home/apt,2,1.0,1,99,4.49,0.97
0,3,Williamsburg,Brooklyn,40.70348,-73.93621,Entire loft,Entire home/apt,2,1.0,2,240,4.75,2.16
0,2,Greenpoint,Brooklyn,40.73535,-73.95584000000001,Entire rental unit,Entire home/apt,2,1.0,1,99,4.82,2.02
1,1,Nolita,Manhattan,40.72297,-73.99684,Entire condominium (condo),Entire home/apt,3,1.0,1,171,4.58,0.67
0,2,Chelsea,Manhattan,40.74493,-73.99521,Entire rental unit,Entire home/apt,4,2.0,2,400,5.0,0.07
0,4,Upper East Side,Manhattan,40.77119,-73.95241,Entire rental unit,Entire home/apt,6,1.0,2,206,4.68,0.62
1,2,Prospect Heights,Brooklyn,40.67839,-73.96642,Entire condominium (condo),Entire home/apt,8,2.0,4,140,4.93,1.25
0,2,Williamsburg,Brooklyn,40.7092,-73.96641,Entire loft,Entire home/apt,2,1.0,1,500,4.74,1.58
0,1,East Harlem,Manhattan,40.8019,-73.93762,Entire loft,Entire home/apt,8,2.0,4,250,4.83,1.85
0,1,East Village,Manhattan,40.72289,-73.98028000000001,Entire rental unit,Entire home/apt,2,1.0,1,220,4.8,0.46
0,1,East Village,Manhattan,40.72862,-73.98748,Entire rental unit,Entire home/apt,2,1.0,1,190,4.84,0.15
1,2,Harlem,Manhattan,40.82817,-73.95133,Entire rental unit,Entire home/apt,3,1.0,2,110,4.71,0.47
0,1,Williamsburg,Brooklyn,40.71802,-73.95724,Entire rental unit,Entire home/apt,2,1.0,1,105,4.49,0.61
0,1,Williamsburg,Brooklyn,40.70967,-73.95922,Entire rental unit,Entire home/apt,2,1.0,1,80,4.05,1.6
0,5,Carroll Gardens,Brooklyn,40.67747,-74.00146,Entire rental unit,Entire home/apt,2,1.0,1,182,4.69,2.79
1,2,West Village,Manhattan,40.72961,-74.00308000000001,Entire residential home,Entire home/apt,4,2.0,3,500,4.43,0.51
0,1,Park Slope,Brooklyn,40.67115,-73.98026,Entire rental unit,Entire home/apt,5,3.0,4,220,4.82,0.74
0,1,Williamsburg,Brooklyn,40.71649,-73.94865,Entire rental unit,Entire home/apt,4,1.0,1,83,4.62,0.36
1,2,South Slope,Brooklyn,40.6686,-73.98723000000001,Entire rental unit,Entire home/apt,3,1.0,1,90,4.93,4.06
0,1,Upper West Side,Manhattan,40.77839,-73.97778000000001,Entire rental unit,Entire home/apt,4,1.5,2,225,4.6,0.37
1,1,Harlem,Manhattan,40.82682,-73.94948000000001,Entire rental unit,Entire home/apt,6,1.0,1,170,4.77,1.76
0,1,Upper East Side,Manhattan,40.77827,-73.94669,Entire rental unit,Entire home/apt,4,1.0,1,150,4.95,0.21
0,1,Lower East Side,Manhattan,40.72314,-73.99108000000001,Entire rental unit,Entire home/apt,3,1.0,1,175,4.76,1.14
0,1,East Village,Manhattan,40.72741,-73.98405,Entire rental unit,Entire home/apt,1,1.0,1,160,5.0,0.03
1,1,Williamsburg,Brooklyn,40.71512,-73.95899,Entire rental unit,Entire home/apt,2,1.0,1,206,4.95,2.82
0,2,East Village,Manhattan,40.72367,-73.98139,Entire rental unit,Entire home/apt,3,1.0,2,125,4.41,0.32
0,11,Upper West Side,Manhattan,40.78763,-73.96862,Entire rental unit,Entire home/apt,2,1.0,1,139,5.0,0.22
0,1,Prospect Heights,Brooklyn,40.67447,-73.96619,Entire rental unit,Entire home/apt,4,1.0,2,121,3.5,0.05
0,1,West Village,Manhattan,40.73271,-74.00367,Entire condominium (condo),Entire home/apt,2,1.0,1,200,4.91,1.28
0,1,Boerum Hill,Brooklyn,40.68442,-73.98068,Entire residential home,Entire home/apt,13,2.5,5,675,4.67,0.28
0,2,Bedford-Stuyvesant,Brooklyn,40.68216,-73.94594000000001,Entire townhouse,Entire home/apt,4,1.0,1,135,4.71,2.61
0,1,Lower East Side,Manhattan,40.71992,-73.99167,Entire loft,Entire home/apt,4,2.0,2,500,4.76,0.58
0,5,Carroll Gardens,Brooklyn,40.67813,-74.00062,Entire rental unit,Entire home/apt,2,1.0,1,190,4.61,1.64
1,2,Tribeca,Manhattan,40.721,-74.00971,Entire rental unit,Entire home/apt,6,1.0,1,250,4.85,0.56
0,3,West Village,Manhattan,40.73737,-74.00437,Entire rental unit,Entire home/apt,2,1.0,1,194,4.75,0.86
0,1,Harlem,Manhattan,40.82569,-73.93842,Entire rental unit,Entire home/apt,4,1.0,2,100,4.78,0.47
1,5,Ridgewood,Queens,40.70309,-73.89963,Entire townhouse,Entire home/apt,16,2.5,5,395,4.42,0.51
0,1,Park Slope,Brooklyn,40.67979,-73.97978,Entire rental unit,Entire home/apt,2,1.0,1,150,4.7,0.55
1,3,Gowanus,Brooklyn,40.66913,-73.99041,Entire rental unit,Entire home/apt,4,1.0,1,158,4.83,1.86
1,1,Ditmars Steinway,Queens,40.77868,-73.90652,Entire rental unit,Entire home/apt,4,1.0,2,140,4.93,6.77
1,5,Middle Village,Queens,40.71567,-73.87841999999999,Entire guesthouse,Entire home/apt,4,1.0,1,107,4.34,0.28
1,5,Middle Village,Queens,40.71778,-73.87714,Entire townhouse,Entire home/apt,12,2.0,4,350,4.71,0.5
1,13,Ditmars Steinway,Queens,40.77155,-73.90564,Entire rental unit,Entire home/apt,2,1.0,1,149,4.8,1.09
0,1,Brooklyn Heights,Brooklyn,40.69003,-73.99338,Entire rental unit,Entire home/apt,3,1.0,1,168,4.69,2.86
1,1,Hell's Kitchen,Manhattan,40.76505,-73.98716,Entire rental unit,Entire home/apt,4,1.0,1,250,4.82,1.3
1,1,Flatiron District,Manhattan,40.74166,-73.9866,Entire loft,Entire home/apt,2,1.0,1,294,4.98,1.7
1,2,East Harlem,Manhattan,40.80747,-73.94076,Entire rental unit,Entire home/apt,2,1.0,1,160,4.85,2.56
0,1,Lower East Side,Manhattan,40.71946,-73.98640999999999,Entire rental unit,Entire home/apt,2,1.0,1,150,4.65,0.51
1,5,Ridgewood,Queens,40.70271,-73.8993,Entire rental unit,Entire home/apt,9,1.0,3,188,5.0,0.02
1,0,Chinatown,Manhattan,40.7178,-73.9932,Entire rental unit,Entire home/apt,5,1.0,2,250,4.71,0.42
0,1,Tribeca,Manhattan,40.72012,-74.00397,Entire loft,Entire home/apt,6,1.0,3,500,4.37,1.54
0,0,East Village,Manhattan,40.7253,-73.98028000000001,Entire rental unit,Entire home/apt,2,1.0,1,195,4.79,0.56
0,0,Greenwich Village,Manhattan,40.73072,-73.99275,Entire rental unit,Entire home/apt,3,1.0,1,250,4.88,0.08
1,2,East Village,Manhattan,40.72598,-73.97978,Entire rental unit,Entire home/apt,6,1.0,1,135,4.53,1.39
0,1,Upper West Side,Manhattan,40.79918,-73.96248,Entire rental unit,Entire home/apt,6,1.0,3,211,5.0,0.03
0,1,Midtown,Manhattan,40.75743,-73.96825,Entire rental unit,Entire home/apt,3,1.0,1,110,4.23,0.75
0,1,East Village,Manhattan,40.72825,-73.98959,Entire rental unit,Entire home/apt,2,1.0,1,130,4.82,0.52
0,1,Upper West Side,Manhattan,40.79523,-73.9728,Entire rental unit,Entire home/apt,2,1.0,1,170,4.81,0.24
1,2,Chelsea,Manhattan,40.741,-73.99562,Entire rental unit,Entire home/apt,2,1.0,1,205,4.9,0.77
0,3,Greenpoint,Brooklyn,40.72967,-73.95352,Entire residential home,Entire home/apt,4,2.0,2,285,4.78,1.7
0,2,Bedford-Stuyvesant,Brooklyn,40.68253,-73.94295,Entire townhouse,Entire home/apt,2,1.0,1,135,4.59,2.16
0,0,East Village,Manhattan,40.722190000000005,-73.98245,Entire residential home,Entire home/apt,4,2.0,2,390,4.37,1.32
0,1,East Village,Manhattan,40.72863,-73.9842,Entire rental unit,Entire home/apt,2,1.0,1,200,0.0,0.0
0,1,East Village,Manhattan,40.72356,-73.97808,Entire rental unit,Entire home/apt,2,1.0,1,105,4.53,0.75
1,3,Nolita,Manhattan,40.72021,-73.99426,Entire rental unit,Entire home/apt,7,1.0,2,399,5.0,0.01
1,1,Williamsburg,Brooklyn,40.7106,-73.95178,Entire rental unit,Entire home/apt,2,1.0,1,85,4.67,0.9
0,0,Williamsburg,Brooklyn,40.70797,-73.94792,Entire rental unit,Entire home/apt,3,1.0,1,106,4.52,2.2
1,1,Carroll Gardens,Brooklyn,40.68028,-73.99328,Entire rental unit,Entire home/apt,4,1.0,2,190,4.87,0.58
1,3,Nolita,Manhattan,40.72036,-73.99435,Entire rental unit,Entire home/apt,7,1.0,2,485,4.86,2.13
0,1,Harlem,Manhattan,40.81263,-73.95214,Entire rental unit,Entire home/apt,5,1.0,2,76,4.35,1.92
0,2,Park Slope,Brooklyn,40.67548,-73.98315,Entire rental unit,Entire home/apt,4,1.0,1,130,4.82,2.44
1,2,Gowanus,Brooklyn,40.68088,-73.99101999999999,Entire rental unit,Entire home/apt,3,1.0,1,190,4.99,1.75
1,1,East Harlem,Manhattan,40.79544,-73.94836,Entire rental unit,Entire home/apt,2,1.0,1,115,4.84,0.5
1,1,Williamsburg,Brooklyn,40.71516,-73.96448000000001,Entire rental unit,Entire home/apt,4,1.0,1,86,4.88,1.04
0,1,Upper West Side,Manhattan,40.78846,-73.97459,Entire rental unit,Entire home/apt,2,1.0,1,199,4.97,0.28
1,2,Nolita,Manhattan,40.72,-73.99486999999999,Entire loft,Entire home/apt,6,1.0,3,595,4.86,1.73
0,2,Upper West Side,Manhattan,40.77845,-73.98295,Entire rental unit,Entire home/apt,2,1.0,1,150,4.83,0.63
0,1,Chinatown,Manhattan,40.7159,-73.99155999999999,Entire condominium (condo),Entire home/apt,2,1.0,1,142,4.83,1.36
1,2,Greenwich Village,Manhattan,40.72997,-74.00196,Entire condominium (condo),Entire home/apt,2,1.0,1,200,4.85,0.8
0,2,Greenpoint,Brooklyn,40.72919,-73.95588000000001,Entire loft,Entire home/apt,4,1.0,1,229,4.98,0.38
0,2,Kingsbridge,Bronx,40.87069,-73.90113000000001,Entire rental unit,Entire home/apt,2,1.0,1,90,4.64,0.47
0,1,Upper West Side,Manhattan,40.77743,-73.97691,Entire rental unit,Entire home/apt,2,1.0,1,110,4.51,0.47
0,2,Williamsburg,Brooklyn,40.71976,-73.96011999999999,Entire rental unit,Entire home/apt,2,1.0,1,129,4.64,1.18
0,2,East Harlem,Manhattan,40.80834,-73.94075,Entire rental unit,Entire home/apt,3,1.0,1,80,4.12,0.44
0,1,Astoria,Queens,40.77507,-73.93366999999999,Entire rental unit,Entire home/apt,3,1.0,1,119,4.66,2.53
0,0,Harlem,Manhattan,40.80874,-73.94926,Entire rental unit,Entire home/apt,5,1.0,2,149,4.67,0.47
0,1,Greenpoint,Brooklyn,40.72364,-73.95013,Entire rental unit,Entire home/apt,3,1.0,1,75,4.67,0.02
1,1,Lower East Side,Manhattan,40.71911,-73.98588000000001,Entire rental unit,Entire home/apt,3,1.0,1,150,4.81,2.53
0,2,Park Slope,Brooklyn,40.67407,-73.98105,Entire townhouse,Entire home/apt,5,1.5,3,69,4.86,0.57
1,2,Brooklyn Heights,Brooklyn,40.69246,-73.99828000000001,Entire rental unit,Entire home/apt,4,1.0,2,200,4.8,1.57
